RH	(%)			
2009	10	13	16	0.58215
2009	10	13	17	0.6387
2009	10	13	18	0.6591
2009	10	13	19	0.7967
2009	10	13	20	0.9315
2009	10	13	21	0.90025
2009	10	13	22	0.8384
2009	10	13	23	0.9511
2009	10	14	0	0.99755
2009	10	14	1	1
2009	10	14	2	1
2009	10	14	3	1
2009	10	14	4	1
2009	10	14	5	1
2009	10	14	6	1
2009	10	14	7	1
2009	10	14	8	1
2009	10	14	9	1
2009	10	14	10	1
2009	10	14	11	0.93615
2009	10	14	12	0.8712
2009	10	14	13	0.8594
2009	10	14	14	0.893
2009	10	14	15	0.83945
2009	10	14	16	0.8127
2009	10	14	17	0.90235
2009	10	14	18	0.9326
2009	10	14	19	0.88795
2009	10	14	20	0.8614
2009	10	14	21	0.8712
2009	10	14	22	0.8788
2009	10	14	23	0.88045
2009	10	15	0	0.87385
2009	10	15	1	0.8805
2009	10	15	2	0.87795
2009	10	15	3	0.88095
2009	10	15	4	0.8727
2009	10	15	5	0.8678
2009	10	15	6	0.9099
2009	10	15	7	0.89755
2009	10	15	8	0.76305
2009	10	15	9	0.7964
2009	10	15	10	0.80945
2009	10	15	11	0.7757
2009	10	15	12	0.73545
2009	10	15	13	0.7322
2009	10	15	14	0.71785
2009	10	15	15	0.68945
2009	10	15	16	0.74135
2009	10	15	17	0.80075
2009	10	15	18	0.82725
2009	10	15	19	0.85825
2009	10	15	20	0.86985
2009	10	15	21	0.8923
2009	10	15	22	0.95695
2009	10	15	23	0.9047
2009	10	16	0	0.96945
2009	10	16	1	0.96315
2009	10	16	2	0.97785
2009	10	16	3	0.9337
2009	10	16	4	0.909
2009	10	16	5	0.9643
2009	10	16	6	0.94555
2009	10	16	7	0.8862
2009	10	16	8	0.6992
2009	10	16	9	0.60065
2009	10	16	10	0.5723
2009	10	16	11	0.5663
2009	10	16	12	0.50095
2009	10	16	13	0.562
2009	10	16	14	0.48695
2009	10	16	15	0.49225
2009	10	16	16	0.5541
2009	10	16	17	0.68575
2009	10	16	18	0.82035
2009	10	16	19	0.80975
