 Year month day hour variable watershed value
  2009 10  1  12.000 swe              1  0.777245E-03
  2009 10  1  12.000 swe              2  0.388622E-03
  2009 10  1  12.000 swe              3  0.798125E-03
  2009 10  1  12.000 swit             1   0.00000    
  2009 10  1  12.000 swit             2   0.00000    
  2009 10  1  12.000 swit             3   0.00000    
  2009 10  1  12.000 swism            1   0.00000    
  2009 10  1  12.000 swism            2   0.00000    
  2009 10  1  12.000 swism            3   0.00000    
  2009 10  1  12.000 swir             1   0.00000    
  2009 10  1  12.000 swir             2   0.00000    
  2009 10  1  12.000 swir             3   0.00000    
  2009 10  1  12.000 swigm            1   0.00000    
  2009 10  1  12.000 swigm            2   0.00000    
  2009 10  1  12.000 swigm            3   0.00000    
  2009 10  1  13.000 p                1   0.00000    
  2009 10  1  13.000 p                2   0.00000    
  2009 10  1  13.000 p                3   0.00000    
  2009 10  1  13.000 swe              1  0.748038E-03
  2009 10  1  13.000 swe              2  0.374019E-03
  2009 10  1  13.000 swe              3  0.776462E-03
  2009 10  1  13.000 swit             1   0.00000    
  2009 10  1  13.000 swit             2   0.00000    
  2009 10  1  13.000 swit             3   0.00000    
  2009 10  1  13.000 swism            1   0.00000    
  2009 10  1  13.000 swism            2   0.00000    
  2009 10  1  13.000 swism            3   0.00000    
  2009 10  1  13.000 swir             1   0.00000    
  2009 10  1  13.000 swir             2   0.00000    
  2009 10  1  13.000 swir             3   0.00000    
  2009 10  1  13.000 swigm            1   0.00000    
  2009 10  1  13.000 swigm            2   0.00000    
  2009 10  1  13.000 swigm            3   0.00000    
  2009 10  1  14.000 p                1   0.00000    
  2009 10  1  14.000 p                2   0.00000    
  2009 10  1  14.000 p                3   0.00000    
  2009 10  1  14.000 swe              1  0.723720E-03
  2009 10  1  14.000 swe              2  0.361860E-03
  2009 10  1  14.000 swe              3  0.759143E-03
  2009 10  1  14.000 swit             1   0.00000    
  2009 10  1  14.000 swit             2   0.00000    
  2009 10  1  14.000 swit             3   0.00000    
  2009 10  1  14.000 swism            1   0.00000    
  2009 10  1  14.000 swism            2   0.00000    
  2009 10  1  14.000 swism            3   0.00000    
  2009 10  1  14.000 swir             1   0.00000    
  2009 10  1  14.000 swir             2   0.00000    
  2009 10  1  14.000 swir             3   0.00000    
  2009 10  1  14.000 swigm            1   0.00000    
  2009 10  1  14.000 swigm            2   0.00000    
  2009 10  1  14.000 swigm            3   0.00000    
  2009 10  1  15.000 p                1   0.00000    
  2009 10  1  15.000 p                2   0.00000    
  2009 10  1  15.000 p                3   0.00000    
  2009 10  1  15.000 swe              1  0.705361E-03
  2009 10  1  15.000 swe              2  0.352681E-03
  2009 10  1  15.000 swe              3  0.745005E-03
  2009 10  1  15.000 swit             1   0.00000    
  2009 10  1  15.000 swit             2   0.00000    
  2009 10  1  15.000 swit             3   0.00000    
  2009 10  1  15.000 swism            1   0.00000    
  2009 10  1  15.000 swism            2   0.00000    
  2009 10  1  15.000 swism            3   0.00000    
  2009 10  1  15.000 swir             1   0.00000    
  2009 10  1  15.000 swir             2   0.00000    
  2009 10  1  15.000 swir             3   0.00000    
  2009 10  1  15.000 swigm            1   0.00000    
  2009 10  1  15.000 swigm            2   0.00000    
  2009 10  1  15.000 swigm            3   0.00000    
  2009 10  1  16.000 p                1   0.00000    
  2009 10  1  16.000 p                2   0.00000    
  2009 10  1  16.000 p                3   0.00000    
  2009 10  1  16.000 swe              1  0.695705E-03
  2009 10  1  16.000 swe              2  0.347853E-03
  2009 10  1  16.000 swe              3  0.736948E-03
  2009 10  1  16.000 swit             1   0.00000    
  2009 10  1  16.000 swit             2   0.00000    
  2009 10  1  16.000 swit             3   0.00000    
  2009 10  1  16.000 swism            1   0.00000    
  2009 10  1  16.000 swism            2   0.00000    
  2009 10  1  16.000 swism            3   0.00000    
  2009 10  1  16.000 swir             1   0.00000    
  2009 10  1  16.000 swir             2   0.00000    
  2009 10  1  16.000 swir             3   0.00000    
  2009 10  1  16.000 swigm            1   0.00000    
  2009 10  1  16.000 swigm            2   0.00000    
  2009 10  1  16.000 swigm            3   0.00000    
  2009 10  1  17.000 p                1   0.00000    
  2009 10  1  17.000 p                2   0.00000    
  2009 10  1  17.000 p                3   0.00000    
  2009 10  1  17.000 swe              1  0.688076E-03
  2009 10  1  17.000 swe              2  0.344038E-03
  2009 10  1  17.000 swe              3  0.726997E-03
  2009 10  1  17.000 swit             1   0.00000    
  2009 10  1  17.000 swit             2   0.00000    
  2009 10  1  17.000 swit             3   0.00000    
  2009 10  1  17.000 swism            1   0.00000    
  2009 10  1  17.000 swism            2   0.00000    
  2009 10  1  17.000 swism            3   0.00000    
  2009 10  1  17.000 swir             1   0.00000    
  2009 10  1  17.000 swir             2   0.00000    
  2009 10  1  17.000 swir             3   0.00000    
  2009 10  1  17.000 swigm            1   0.00000    
  2009 10  1  17.000 swigm            2   0.00000    
  2009 10  1  17.000 swigm            3   0.00000    
  2009 10  1  18.000 p                1   0.00000    
  2009 10  1  18.000 p                2   0.00000    
  2009 10  1  18.000 p                3   0.00000    
  2009 10  1  18.000 swe              1  0.687003E-03
  2009 10  1  18.000 swe              2  0.343502E-03
  2009 10  1  18.000 swe              3  0.720721E-03
  2009 10  1  18.000 swit             1   0.00000    
  2009 10  1  18.000 swit             2   0.00000    
  2009 10  1  18.000 swit             3   0.00000    
  2009 10  1  18.000 swism            1   0.00000    
  2009 10  1  18.000 swism            2   0.00000    
  2009 10  1  18.000 swism            3   0.00000    
  2009 10  1  18.000 swir             1   0.00000    
  2009 10  1  18.000 swir             2   0.00000    
  2009 10  1  18.000 swir             3   0.00000    
  2009 10  1  18.000 swigm            1   0.00000    
  2009 10  1  18.000 swigm            2   0.00000    
  2009 10  1  18.000 swigm            3   0.00000    
  2009 10  1  19.000 p                1   0.00000    
  2009 10  1  19.000 p                2   0.00000    
  2009 10  1  19.000 p                3   0.00000    
  2009 10  1  19.000 swe              1  0.687242E-03
  2009 10  1  19.000 swe              2  0.343621E-03
  2009 10  1  19.000 swe              3  0.714676E-03
  2009 10  1  19.000 swit             1   0.00000    
  2009 10  1  19.000 swit             2   0.00000    
  2009 10  1  19.000 swit             3   0.00000    
  2009 10  1  19.000 swism            1   0.00000    
  2009 10  1  19.000 swism            2   0.00000    
  2009 10  1  19.000 swism            3   0.00000    
  2009 10  1  19.000 swir             1   0.00000    
  2009 10  1  19.000 swir             2   0.00000    
  2009 10  1  19.000 swir             3   0.00000    
  2009 10  1  19.000 swigm            1   0.00000    
  2009 10  1  19.000 swigm            2   0.00000    
  2009 10  1  19.000 swigm            3   0.00000    
  2009 10  1  20.000 p                1   0.00000    
  2009 10  1  20.000 p                2   0.00000    
  2009 10  1  20.000 p                3   0.00000    
  2009 10  1  20.000 swe              1  0.688672E-03
  2009 10  1  20.000 swe              2  0.344336E-03
  2009 10  1  20.000 swe              3  0.711086E-03
  2009 10  1  20.000 swit             1   0.00000    
  2009 10  1  20.000 swit             2   0.00000    
  2009 10  1  20.000 swit             3   0.00000    
  2009 10  1  20.000 swism            1   0.00000    
  2009 10  1  20.000 swism            2   0.00000    
  2009 10  1  20.000 swism            3   0.00000    
  2009 10  1  20.000 swir             1   0.00000    
  2009 10  1  20.000 swir             2   0.00000    
  2009 10  1  20.000 swir             3   0.00000    
  2009 10  1  20.000 swigm            1   0.00000    
  2009 10  1  20.000 swigm            2   0.00000    
  2009 10  1  20.000 swigm            3   0.00000    
  2009 10  1  21.000 p                1   0.00000    
  2009 10  1  21.000 p                2   0.00000    
  2009 10  1  21.000 p                3   0.00000    
  2009 10  1  21.000 swe              1  0.689626E-03
  2009 10  1  21.000 swe              2  0.344813E-03
  2009 10  1  21.000 swe              3  0.707832E-03
  2009 10  1  21.000 swit             1   0.00000    
  2009 10  1  21.000 swit             2   0.00000    
  2009 10  1  21.000 swit             3   0.00000    
  2009 10  1  21.000 swism            1   0.00000    
  2009 10  1  21.000 swism            2   0.00000    
  2009 10  1  21.000 swism            3   0.00000    
  2009 10  1  21.000 swir             1   0.00000    
  2009 10  1  21.000 swir             2   0.00000    
  2009 10  1  21.000 swir             3   0.00000    
  2009 10  1  21.000 swigm            1   0.00000    
  2009 10  1  21.000 swigm            2   0.00000    
  2009 10  1  21.000 swigm            3   0.00000    
  2009 10  1  22.000 p                1   0.00000    
  2009 10  1  22.000 p                2   0.00000    
  2009 10  1  22.000 p                3   0.00000    
  2009 10  1  22.000 swe              1  0.691652E-03
  2009 10  1  22.000 swe              2  0.345826E-03
  2009 10  1  22.000 swe              3  0.705843E-03
  2009 10  1  22.000 swit             1   0.00000    
  2009 10  1  22.000 swit             2   0.00000    
  2009 10  1  22.000 swit             3   0.00000    
  2009 10  1  22.000 swism            1   0.00000    
  2009 10  1  22.000 swism            2   0.00000    
  2009 10  1  22.000 swism            3   0.00000    
  2009 10  1  22.000 swir             1   0.00000    
  2009 10  1  22.000 swir             2   0.00000    
  2009 10  1  22.000 swir             3   0.00000    
  2009 10  1  22.000 swigm            1   0.00000    
  2009 10  1  22.000 swigm            2   0.00000    
  2009 10  1  22.000 swigm            3   0.00000    
  2009 10  1  23.000 p                1   0.00000    
  2009 10  1  23.000 p                2   0.00000    
  2009 10  1  23.000 p                3   0.00000    
  2009 10  1  23.000 swe              1  0.691891E-03
  2009 10  1  23.000 swe              2  0.345945E-03
  2009 10  1  23.000 swe              3  0.700717E-03
  2009 10  1  23.000 swit             1   0.00000    
  2009 10  1  23.000 swit             2   0.00000    
  2009 10  1  23.000 swit             3   0.00000    
  2009 10  1  23.000 swism            1   0.00000    
  2009 10  1  23.000 swism            2   0.00000    
  2009 10  1  23.000 swism            3   0.00000    
  2009 10  1  23.000 swir             1   0.00000    
  2009 10  1  23.000 swir             2   0.00000    
  2009 10  1  23.000 swir             3   0.00000    
  2009 10  1  23.000 swigm            1   0.00000    
  2009 10  1  23.000 swigm            2   0.00000    
  2009 10  1  23.000 swigm            3   0.00000    
  2009 10  2   0.000 p                1   0.00000    
  2009 10  2   0.000 p                2   0.00000    
  2009 10  2   0.000 p                3   0.00000    
  2009 10  2   0.000 swe              1  0.695586E-03
  2009 10  2   0.000 swe              2  0.347793E-03
  2009 10  2   0.000 swe              3  0.700680E-03
  2009 10  2   0.000 swit             1   0.00000    
  2009 10  2   0.000 swit             2   0.00000    
  2009 10  2   0.000 swit             3   0.00000    
  2009 10  2   0.000 swism            1   0.00000    
  2009 10  2   0.000 swism            2   0.00000    
  2009 10  2   0.000 swism            3   0.00000    
  2009 10  2   0.000 swir             1   0.00000    
  2009 10  2   0.000 swir             2   0.00000    
  2009 10  2   0.000 swir             3   0.00000    
  2009 10  2   0.000 swigm            1   0.00000    
  2009 10  2   0.000 swigm            2   0.00000    
  2009 10  2   0.000 swigm            3   0.00000    
  2009 10  2   1.000 p                1   0.00000    
  2009 10  2   1.000 p                2   0.00000    
  2009 10  2   1.000 p                3   0.00000    
  2009 10  2   1.000 swe              1  0.699282E-03
  2009 10  2   1.000 swe              2  0.349641E-03
  2009 10  2   1.000 swe              3  0.701237E-03
  2009 10  2   1.000 swit             1   0.00000    
  2009 10  2   1.000 swit             2   0.00000    
  2009 10  2   1.000 swit             3   0.00000    
  2009 10  2   1.000 swism            1   0.00000    
  2009 10  2   1.000 swism            2   0.00000    
  2009 10  2   1.000 swism            3   0.00000    
  2009 10  2   1.000 swir             1   0.00000    
  2009 10  2   1.000 swir             2   0.00000    
  2009 10  2   1.000 swir             3   0.00000    
  2009 10  2   1.000 swigm            1   0.00000    
  2009 10  2   1.000 swigm            2   0.00000    
  2009 10  2   1.000 swigm            3   0.00000    
  2009 10  2   2.000 p                1   0.00000    
  2009 10  2   2.000 p                2   0.00000    
  2009 10  2   2.000 p                3   0.00000    
  2009 10  2   2.000 swe              1  0.702858E-03
  2009 10  2   2.000 swe              2  0.351429E-03
  2009 10  2   2.000 swe              3  0.701051E-03
  2009 10  2   2.000 swit             1   0.00000    
  2009 10  2   2.000 swit             2   0.00000    
  2009 10  2   2.000 swit             3   0.00000    
  2009 10  2   2.000 swism            1   0.00000    
  2009 10  2   2.000 swism            2   0.00000    
  2009 10  2   2.000 swism            3   0.00000    
  2009 10  2   2.000 swir             1   0.00000    
  2009 10  2   2.000 swir             2   0.00000    
  2009 10  2   2.000 swir             3   0.00000    
  2009 10  2   2.000 swigm            1   0.00000    
  2009 10  2   2.000 swigm            2   0.00000    
  2009 10  2   2.000 swigm            3   0.00000    
  2009 10  2   3.000 p                1   0.00000    
  2009 10  2   3.000 p                2   0.00000    
  2009 10  2   3.000 p                3   0.00000    
  2009 10  2   3.000 swe              1  0.706434E-03
  2009 10  2   3.000 swe              2  0.353217E-03
  2009 10  2   3.000 swe              3  0.699747E-03
  2009 10  2   3.000 swit             1   0.00000    
  2009 10  2   3.000 swit             2   0.00000    
  2009 10  2   3.000 swit             3   0.00000    
  2009 10  2   3.000 swism            1   0.00000    
  2009 10  2   3.000 swism            2   0.00000    
  2009 10  2   3.000 swism            3   0.00000    
  2009 10  2   3.000 swir             1   0.00000    
  2009 10  2   3.000 swir             2   0.00000    
  2009 10  2   3.000 swir             3   0.00000    
  2009 10  2   3.000 swigm            1   0.00000    
